Entity,Daily caloric supply,Obese,Population,Continent
Puerto Rico,,63.2,3560008.0,North America
Qatar,,72.2,2214471.0,Asia
Reunion,,,914797.0,Unknown
Romania,3417.0,63.9,19995836.0,Europe
Russia,3365.0,60.3,144285072.0,Europe
Rwanda,2214.0,10.3,11368450.0,Africa
Saint Barthelemy,,,9499.0,Unknown
Saint Helena,,,5480.0,Unknown
Saint Kitts and Nevis,2511.0,52.1,47816.0,North America
Saint Lucia,2618.0,48.1,174814.0,North America
Saint Martin (French part),,,35280.0,North America
Saint Pierre and Miquelon,,,6013.0,North America
Saint Vincent and the Grenadines,2945.0,49.5,106934.0,North America
Samoa,2974.0,73.4,201769.0,Oceania
San Marino,,,33415.0,Europe
Sao Tome and Principe,2381.0,24.1,197511.0,Africa
Saudi Arabia,3274.0,65.5,32125570.0,Asia
Senegal,2438.0,19.5,13970314.0,Africa
Serbia,2807.0,59.3,7543965.0,Europe
Seychelles,,41.8,98016.0,Africa
Sierra Leone,2301.0,16.9,7140700.0,Africa
Singapore,,37.9,5570505.0,Asia
Sint Maarten (Dutch part),,,39124.0,Unknown
Slovakia,2823.0,64.5,5419572.0,Europe
Slovenia,3203.0,64.1,2074923.0,Europe
Solomon Islands,2376.0,38.9,597386.0,Oceania
Somalia,,14.6,13309236.0,Africa
South Africa,2976.0,40.2,54729556.0,Africa
South America,3083.066636,,409128901.0,Unknown
South Korea,3333.0,37.9,50558044.0,Asia
South Sudan,,,11213286.0,Africa
Spain,3163.0,67.1,46464548.0,Europe
Sri Lanka,2618.0,17.3,21239448.0,Asia
Sudan,2589.0,21.5,37003248.0,Africa
Suriname,2764.0,52.0,569687.0,South America
Svalbard and Jan Mayen,,,2400.0,Europe
Sweden,3198.0,62.6,9747507.0,Europe
Switzerland,3421.0,64.3,8187792.0,Europe
Syria,,53.3,20072232.0,Asia
Taiwan,2960.0,42.4,23422504.0,Asia
Tajikistan,2091.0,39.4,8326354.0,Asia
Tanzania,2339.0,15.2,50814552.0,Africa
Thailand,2771.0,26.0,69960944.0,Asia
Timor-Leste,,9.6,,Unknown
Togo,2433.0,15.7,7288381.0,Africa
Tokelau,,72.6,1517.0,Oceania
Tonga,,74.4,106639.0,Oceania
Trinidad and Tobago,2987.0,51.2,1450663.0,North America
Tunisia,3435.0,55.1,11428953.0,Africa
Turkey,3659.0,63.0,78112064.0,Asia
Turkmenistan,2904.0,52.6,5663159.0,Asia
Turks and Caicos Islands,,,35014.0,North America
Tuvalu,,72.7,10922.0,Oceania
Uganda,2127.0,12.5,36336544.0,Africa
Ukraine,3145.0,57.4,45148072.0,Europe
United Arab Emirates,3398.0,67.7,8835957.0,Asia
United Kingdom,3376.0,67.7,64773504.0,Europe
United States,3717.0,72.8,322033952.0,North America
United States Virgin Islands,,,103393.0,North America
Upper-middle-income countries,3140.278005,,2444604237.0,Unknown
Uruguay,3157.0,62.9,3391660.0,South America
Uzbekistan,2964.0,46.8,30446542.0,Asia
Vanuatu,2733.0,47.2,269942.0,Oceania
Venezuela,2610.0,62.2,30193260.0,South America
Vietnam,2853.0,15.8,91235504.0,Asia
Wallis and Futuna,,,12335.0,Oceania
Western Sahara,,,478023.0,Unknown
World,2895.239696,38.3,7339013632.0,Unknown
Yemen,2156.0,36.8,27753310.0,Asia
Zambia,2013.0,18.5,15737796.0,Africa
Zimbabwe,1986.0,19.5,13855758.0,Africa
